Sexo	Provincias	Tasas	Periodo	Total
Hombres	02 Albacete	Tasa de paro de la población	2020T2	13,63
Hombres	02 Albacete	Tasa de paro de la población	2020T1	17,74
Hombres	02 Albacete	Tasa de paro de la población	2019T4	13,48
Hombres	02 Albacete	Tasa de paro de la población	2019T3	11,33
Hombres	02 Albacete	Tasa de paro de la población	2019T2	13,57
Hombres	02 Albacete	Tasa de paro de la población	2019T1	14,24
Hombres	02 Albacete	Tasa de paro de la población	2018T4	14,09
Hombres	02 Albacete	Tasa de paro de la población	2018T3	15,98
Hombres	02 Albacete	Tasa de paro de la población	2018T2	16,59
Hombres	02 Albacete	Tasa de paro de la población	2018T1	18,17
Hombres	02 Albacete	Tasa de paro de la población	2017T4	20,04
Hombres	02 Albacete	Tasa de paro de la población	2017T3	16,92
Hombres	02 Albacete	Tasa de paro de la población	2017T2	22,29
Hombres	02 Albacete	Tasa de paro de la población	2017T1	19,19
Hombres	02 Albacete	Tasa de paro de la población	2016T4	20,24
Hombres	02 Albacete	Tasa de paro de la población	2016T3	21,73
Hombres	02 Albacete	Tasa de paro de la población	2016T2	21,66
Hombres	02 Albacete	Tasa de paro de la población	2016T1	21,96
Hombres	02 Albacete	Tasa de paro de la población	2015T4	18,50
Hombres	02 Albacete	Tasa de paro de la población	2015T3	21,18
Hombres	02 Albacete	Tasa de paro de la población	2015T2	20,98
Hombres	02 Albacete	Tasa de paro de la población	2015T1	26,36
Hombres	02 Albacete	Tasa de paro de la población	2014T4	23,90
Hombres	02 Albacete	Tasa de paro de la población	2014T3	30,01
Hombres	02 Albacete	Tasa de paro de la población	2014T2	27,45
Hombres	02 Albacete	Tasa de paro de la población	2014T1	27,01
Hombres	02 Albacete	Tasa de paro de la población	2013T4	25,08
Hombres	02 Albacete	Tasa de paro de la población	2013T3	27,33
Hombres	02 Albacete	Tasa de paro de la población	2013T2	28,44
Hombres	02 Albacete	Tasa de paro de la población	2013T1	31,23
Hombres	02 Albacete	Tasa de paro de la población	2012T4	28,25
Hombres	02 Albacete	Tasa de paro de la población	2012T3	29,04
Hombres	02 Albacete	Tasa de paro de la población	2012T2	28,01
Hombres	02 Albacete	Tasa de paro de la población	2012T1	25,89
Hombres	02 Albacete	Tasa de paro de la población	2011T4	24,11
Hombres	02 Albacete	Tasa de paro de la población	2011T3	24,45
Hombres	02 Albacete	Tasa de paro de la población	2011T2	21,66
Hombres	02 Albacete	Tasa de paro de la población	2011T1	20,74
Hombres	02 Albacete	Tasa de paro de la población	2010T4	21,11
Hombres	02 Albacete	Tasa de paro de la población	2010T3	21,11
Hombres	02 Albacete	Tasa de paro de la población	2010T2	24,59
Hombres	02 Albacete	Tasa de paro de la población	2010T1	22,32
Hombres	02 Albacete	Tasa de empleo de la población	2021T3	57,88
Hombres	02 Albacete	Tasa de empleo de la población	2021T2	56,93
Hombres	02 Albacete	Tasa de empleo de la población	2021T1	53,63
Hombres	02 Albacete	Tasa de empleo de la población	2020T4	56,65
Hombres	02 Albacete	Tasa de empleo de la población	2020T3	53,84
Hombres	02 Albacete	Tasa de empleo de la población	2020T2	51,80
Hombres	02 Albacete	Tasa de empleo de la población	2020T1	51,67
Hombres	02 Albacete	Tasa de empleo de la población	2019T4	52,81
Hombres	02 Albacete	Tasa de empleo de la población	2019T3	55,90
Hombres	02 Albacete	Tasa de empleo de la población	2019T2	56,75
Hombres	02 Albacete	Tasa de empleo de la población	2019T1	56,53
Hombres	02 Albacete	Tasa de empleo de la población	2018T4	57,90
Hombres	02 Albacete	Tasa de empleo de la población	2018T3	57,58
Hombres	02 Albacete	Tasa de empleo de la población	2018T2	56,23
Hombres	02 Albacete	Tasa de empleo de la población	2018T1	53,65
Hombres	02 Albacete	Tasa de empleo de la población	2017T4	52,46
Hombres	02 Albacete	Tasa de empleo de la población	2017T3	53,35
Hombres	02 Albacete	Tasa de empleo de la población	2017T2	51,19
Hombres	02 Albacete	Tasa de empleo de la población	2017T1	50,30
Hombres	02 Albacete	Tasa de empleo de la población	2016T4	48,52
Hombres	02 Albacete	Tasa de empleo de la población	2016T3	45,44
Hombres	02 Albacete	Tasa de empleo de la población	2016T2	48,21
Hombres	02 Albacete	Tasa de empleo de la población	2016T1	46,74
Hombres	02 Albacete	Tasa de empleo de la población	2015T4	51,49
Hombres	02 Albacete	Tasa de empleo de la población	2015T3	50,42
Hombres	02 Albacete	Tasa de empleo de la población	2015T2	50,55
Hombres	02 Albacete	Tasa de empleo de la población	2015T1	47,24
Hombres	02 Albacete	Tasa de empleo de la población	2014T4	48,49
Hombres	02 Albacete	Tasa de empleo de la población	2014T3	44,38
Hombres	02 Albacete	Tasa de empleo de la población	2014T2	45,91
Hombres	02 Albacete	Tasa de empleo de la población	2014T1	46,15
Hombres	02 Albacete	Tasa de empleo de la población	2013T4	48,01
Hombres	02 Albacete	Tasa de empleo de la población	2013T3	48,36
Hombres	02 Albacete	Tasa de empleo de la población	2013T2	46,76
Hombres	02 Albacete	Tasa de empleo de la población	2013T1	44,35
Hombres	02 Albacete	Tasa de empleo de la población	2012T4	45,52
Hombres	02 Albacete	Tasa de empleo de la población	2012T3	45,86
Hombres	02 Albacete	Tasa de empleo de la población	2012T2	46,82
Hombres	02 Albacete	Tasa de empleo de la población	2012T1	47,07
Hombres	02 Albacete	Tasa de empleo de la población	2011T4	48,85
Hombres	02 Albacete	Tasa de empleo de la población	2011T3	50,20
Hombres	02 Albacete	Tasa de empleo de la población	2011T2	52,39
Hombres	02 Albacete	Tasa de empleo de la población	2011T1	52,03
Hombres	02 Albacete	Tasa de empleo de la población	2010T4	53,64
Hombres	02 Albacete	Tasa de empleo de la población	2010T3	52,94
Hombres	02 Albacete	Tasa de empleo de la población	2010T2	51,48
Hombres	02 Albacete	Tasa de empleo de la población	2010T1	52,27
Hombres	03 Alicante/Alacant	Tasa de actividad	2021T3	63,02
Hombres	03 Alicante/Alacant	Tasa de actividad	2021T2	60,59
Hombres	03 Alicante/Alacant	Tasa de actividad	2021T1	61,04
Hombres	03 Alicante/Alacant	Tasa de actividad	2020T4	62,66
Hombres	03 Alicante/Alacant	Tasa de actividad	2020T3	64,17
Hombres	03 Alicante/Alacant	Tasa de actividad	2020T2	61,69
Hombres	03 Alicante/Alacant	Tasa de actividad	2020T1	64,00
Hombres	03 Alicante/Alacant	Tasa de actividad	2019T4	65,20
Hombres	03 Alicante/Alacant	Tasa de actividad	2019T3	64,59
Hombres	03 Alicante/Alacant	Tasa de actividad	2019T2	64,67
Hombres	03 Alicante/Alacant	Tasa de actividad	2019T1	63,03
Hombres	03 Alicante/Alacant	Tasa de actividad	2018T4	63,13
Hombres	03 Alicante/Alacant	Tasa de actividad	2018T3	64,50
Hombres	03 Alicante/Alacant	Tasa de actividad	2018T2	63,58
Hombres	03 Alicante/Alacant	Tasa de actividad	2018T1	63,80
Hombres	03 Alicante/Alacant	Tasa de actividad	2017T4	63,17
Hombres	03 Alicante/Alacant	Tasa de actividad	2017T3	64,44
Hombres	03 Alicante/Alacant	Tasa de actividad	2017T2	65,16
Hombres	03 Alicante/Alacant	Tasa de actividad	2017T1	64,44
Hombres	03 Alicante/Alacant	Tasa de actividad	2016T4	63,60
Hombres	03 Alicante/Alacant	Tasa de actividad	2016T3	65,63
Hombres	03 Alicante/Alacant	Tasa de actividad	2016T2	66,26
Hombres	03 Alicante/Alacant	Tasa de actividad	2016T1	63,91
Hombres	03 Alicante/Alacant	Tasa de actividad	2015T4	63,70
Hombres	03 Alicante/Alacant	Tasa de actividad	2015T3	64,28
Hombres	03 Alicante/Alacant	Tasa de actividad	2015T2	63,98
Hombres	03 Alicante/Alacant	Tasa de actividad	2015T1	63,86
Hombres	03 Alicante/Alacant	Tasa de actividad	2014T4	63,99
Hombres	03 Alicante/Alacant	Tasa de actividad	2014T3	63,17
Hombres	03 Alicante/Alacant	Tasa de actividad	2014T2	63,92
Hombres	03 Alicante/Alacant	Tasa de actividad	2014T1	63,44
Hombres	03 Alicante/Alacant	Tasa de actividad	2013T4	65,34
Hombres	03 Alicante/Alacant	Tasa de actividad	2013T3	65,38
Hombres	03 Alicante/Alacant	Tasa de actividad	2013T2	65,77
Hombres	03 Alicante/Alacant	Tasa de actividad	2013T1	64,34
Hombres	03 Alicante/Alacant	Tasa de actividad	2012T4	66,13
Hombres	03 Alicante/Alacant	Tasa de actividad	2012T3	66,39
Hombres	03 Alicante/Alacant	Tasa de actividad	2012T2	67,01
Hombres	03 Alicante/Alacant	Tasa de actividad	2012T1	66,23
Hombres	03 Alicante/Alacant	Tasa de actividad	2011T4	66,72
Hombres	03 Alicante/Alacant	Tasa de actividad	2011T3	65,20
Hombres	03 Alicante/Alacant	Tasa de actividad	2011T2	64,38
Hombres	03 Alicante/Alacant	Tasa de actividad	2011T1	63,13
Hombres	03 Alicante/Alacant	Tasa de actividad	2010T4	65,05
Hombres	03 Alicante/Alacant	Tasa de actividad	2010T3	66,68
Hombres	03 Alicante/Alacant	Tasa de actividad	2010T2	66,56
Hombres	03 Alicante/Alacant	Tasa de actividad	2010T1	65,69
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2021T3	16,35
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2021T2	14,93
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2021T1	17,82
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2020T4	17,45
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2020T3	16,54
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2020T2	16,02
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2020T1	13,47
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2019T4	13,34
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2019T3	10,31
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2019T2	12,32
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2019T1	13,41
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2018T4	15,34
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2018T3	14,60
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2018T2	15,39
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2018T1	17,49
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2017T4	16,50
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2017T3	15,38
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2017T2	15,81
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2017T1	19,58
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2016T4	17,72
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2016T3	17,14
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2016T2	20,57
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2016T1	21,66
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2015T4	22,25
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2015T3	22,22
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2015T2	22,79
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2015T1	26,76
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2014T4	23,92
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2014T3	23,02
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2014T2	25,02
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2014T1	26,73
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2013T4	26,33
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2013T3	24,65
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2013T2	24,04
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2013T1	26,58
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2012T4	26,53
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2012T3	25,93
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2012T2	27,09
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2012T1	29,14
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2011T4	25,76
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2011T3	22,21
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2011T2	23,28
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2011T1	24,52
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2010T4	24,57
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2010T3	24,22
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2010T2	24,41
Hombres	03 Alicante/Alacant	Tasa de paro de la población	2010T1	23,88
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2021T3	52,71
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2021T2	51,54
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2021T1	50,17
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2020T4	51,73
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2020T3	53,55
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2020T2	51,81
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2020T1	55,38
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2019T4	56,50
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2019T3	57,93
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2019T2	56,70
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2019T1	54,58
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2018T4	53,45
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2018T3	55,08
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2018T2	53,79
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2018T1	52,64
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2017T4	52,75
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2017T3	54,53
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2017T2	54,86
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2017T1	51,82
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2016T4	52,33
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2016T3	54,39
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2016T2	52,63
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2016T1	50,07
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2015T4	49,52
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2015T3	50,00
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2015T2	49,40
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2015T1	46,77
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2014T4	48,68
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2014T3	48,63
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2014T2	47,93
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2014T1	46,49
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2013T4	48,14
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2013T3	49,26
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2013T2	49,96
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2013T1	47,24
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2012T4	48,58
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2012T3	49,18
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2012T2	48,86
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2012T1	46,93
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2011T4	49,53
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2011T3	50,72
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2011T2	49,39
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2011T1	47,65
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2010T4	49,07
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2010T3	50,53
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2010T2	50,31
Hombres	03 Alicante/Alacant	Tasa de empleo de la población	2010T1	50,00
Hombres	04 Almería	Tasa de actividad	2021T3	70,40
Hombres	04 Almería	Tasa de actividad	2021T2	65,91
Hombres	04 Almería	Tasa de actividad	2021T1	70,52
Hombres	04 Almería	Tasa de actividad	2020T4	67,89
Hombres	04 Almería	Tasa de actividad	2020T3	68,40
Hombres	04 Almería	Tasa de actividad	2020T2	62,72
Hombres	04 Almería	Tasa de actividad	2020T1	68,84
Hombres	04 Almería	Tasa de actividad	2019T4	67,22
Hombres	04 Almería	Tasa de actividad	2019T3	64,45
Hombres	04 Almería	Tasa de actividad	2019T2	66,35
Hombres	04 Almería	Tasa de actividad	2019T1	65,07
Hombres	04 Almería	Tasa de actividad	2018T4	66,79
Hombres	04 Almería	Tasa de actividad	2018T3	67,26
Hombres	04 Almería	Tasa de actividad	2018T2	67,01
Hombres	04 Almería	Tasa de actividad	2018T1	68,96
Hombres	04 Almería	Tasa de actividad	2017T4	71,63
Hombres	04 Almería	Tasa de actividad	2017T3	69,51
Hombres	04 Almería	Tasa de actividad	2017T2	68,69
Hombres	04 Almería	Tasa de actividad	2017T1	69,19
Hombres	04 Almería	Tasa de actividad	2016T4	68,42
Hombres	04 Almería	Tasa de actividad	2016T3	67,26
Hombres	04 Almería	Tasa de actividad	2016T2	66,23
Hombres	04 Almería	Tasa de actividad	2016T1	66,32
Hombres	04 Almería	Tasa de actividad	2015T4	65,93
Hombres	04 Almería	Tasa de actividad	2015T3	66,38
Hombres	04 Almería	Tasa de actividad	2015T2	67,22
Hombres	04 Almería	Tasa de actividad	2015T1	68,81
Hombres	04 Almería	Tasa de actividad	2014T4	70,84
Hombres	04 Almería	Tasa de actividad	2014T3	71,20
Hombres	04 Almería	Tasa de actividad	2014T2	72,12
Hombres	04 Almería	Tasa de actividad	2014T1	74,00
Hombres	04 Almería	Tasa de actividad	2013T4	73,10
Hombres	04 Almería	Tasa de actividad	2013T3	72,60
Hombres	04 Almería	Tasa de actividad	2013T2	73,49
Hombres	04 Almería	Tasa de actividad	2013T1	70,80
Hombres	04 Almería	Tasa de actividad	2012T4	71,81
Hombres	04 Almería	Tasa de actividad	2012T3	71,74
Hombres	04 Almería	Tasa de actividad	2012T2	70,65
Hombres	04 Almería	Tasa de actividad	2012T1	69,31
Hombres	04 Almería	Tasa de actividad	2011T4	70,21
Hombres	04 Almería	Tasa de actividad	2011T3	72,33
Hombres	04 Almería	Tasa de actividad	2011T2	71,38
Hombres	04 Almería	Tasa de actividad	2011T1	72,21
Hombres	04 Almería	Tasa de actividad	2010T4	70,92
Hombres	04 Almería	Tasa de actividad	2010T3	69,74
Hombres	04 Almería	Tasa de actividad	2010T2	70,37
Hombres	04 Almería	Tasa de actividad	2010T1	72,15
Hombres	04 Almería	Tasa de paro de la población	2021T3	19,23
Hombres	04 Almería	Tasa de paro de la población	2021T2	20,64
Hombres	04 Almería	Tasa de paro de la población	2021T1	15,91
Hombres	04 Almería	Tasa de paro de la población	2020T4	17,10
Hombres	04 Almería	Tasa de paro de la población	2020T3	20,22
Hombres	04 Almería	Tasa de paro de la población	2020T2	15,78
Hombres	04 Almería	Tasa de paro de la población	2020T1	15,56
Hombres	04 Almería	Tasa de paro de la población	2019T4	15,08
Hombres	04 Almería	Tasa de paro de la población	2019T3	15,38
Hombres	04 Almería	Tasa de paro de la población	2019T2	15,56
Hombres	04 Almería	Tasa de paro de la población	2019T1	14,33
Hombres	04 Almería	Tasa de paro de la población	2018T4	18,38
Hombres	04 Almería	Tasa de paro de la población	2018T3	22,10
Hombres	04 Almería	Tasa de paro de la población	2018T2	20,33
Hombres	04 Almería	Tasa de paro de la población	2018T1	22,66
Hombres	04 Almería	Tasa de paro de la población	2017T4	22,26
Hombres	04 Almería	Tasa de paro de la población	2017T3	21,40
Hombres	04 Almería	Tasa de paro de la población	2017T2	22,13
Hombres	04 Almería	Tasa de paro de la población	2017T1	21,43
Hombres	04 Almería	Tasa de paro de la población	2016T4	24,59
Hombres	04 Almería	Tasa de paro de la población	2016T3	19,54
Hombres	04 Almería	Tasa de paro de la población	2016T2	22,99
Hombres	04 Almería	Tasa de paro de la población	2016T1	23,90
Hombres	04 Almería	Tasa de paro de la población	2015T4	21,59
Hombres	04 Almería	Tasa de paro de la población	2015T3	26,95
Hombres	04 Almería	Tasa de paro de la población	2015T2	27,36
Hombres	04 Almería	Tasa de paro de la población	2015T1	28,05
Hombres	04 Almería	Tasa de paro de la población	2014T4	33,42
Hombres	04 Almería	Tasa de paro de la población	2014T3	34,56
Hombres	04 Almería	Tasa de paro de la población	2014T2	31,81
Hombres	04 Almería	Tasa de paro de la población	2014T1	32,81
Hombres	04 Almería	Tasa de paro de la población	2013T4	33,80
Hombres	04 Almería	Tasa de paro de la población	2013T3	36,04
Hombres	04 Almería	Tasa de paro de la población	2013T2	34,24
Hombres	04 Almería	Tasa de paro de la población	2013T1	36,17
Hombres	04 Almería	Tasa de paro de la población	2012T4	34,00
Hombres	04 Almería	Tasa de paro de la población	2012T3	37,97
Hombres	04 Almería	Tasa de paro de la población	2012T2	34,28
Hombres	04 Almería	Tasa de paro de la población	2012T1	34,96
Hombres	04 Almería	Tasa de paro de la población	2011T4	33,08
Hombres	04 Almería	Tasa de paro de la población	2011T3	33,09
Hombres	04 Almería	Tasa de paro de la población	2011T2	32,14
Hombres	04 Almería	Tasa de paro de la población	2011T1	30,61
Hombres	04 Almería	Tasa de paro de la población	2010T4	25,84
Hombres	04 Almería	Tasa de paro de la población	2010T3	24,28
Hombres	04 Almería	Tasa de paro de la población	2010T2	30,95
Hombres	04 Almería	Tasa de paro de la población	2010T1	32,76
Hombres	04 Almería	Tasa de empleo de la población	2021T3	56,87
Hombres	04 Almería	Tasa de empleo de la población	2021T2	52,30
Hombres	04 Almería	Tasa de empleo de la población	2021T1	59,30
Hombres	04 Almería	Tasa de empleo de la población	2020T4	56,28
Hombres	04 Almería	Tasa de empleo de la población	2020T3	54,57
Hombres	04 Almería	Tasa de empleo de la población	2020T2	52,82
Hombres	04 Almería	Tasa de empleo de la población	2020T1	58,12
Hombres	04 Almería	Tasa de empleo de la población	2019T4	57,08
Hombres	04 Almería	Tasa de empleo de la población	2019T3	54,54
Hombres	04 Almería	Tasa de empleo de la población	2019T2	56,02
Hombres	04 Almería	Tasa de empleo de la población	2019T1	55,75
Hombres	04 Almería	Tasa de empleo de la población	2018T4	54,52
Hombres	04 Almería	Tasa de empleo de la población	2018T3	52,39
Hombres	04 Almería	Tasa de empleo de la población	2018T2	53,39
Hombres	04 Almería	Tasa de empleo de la población	2018T1	53,34
Hombres	04 Almería	Tasa de empleo de la población	2017T4	55,69
Hombres	04 Almería	Tasa de empleo de la población	2017T3	54,63
Hombres	04 Almería	Tasa de empleo de la población	2017T2	53,49
Hombres	04 Almería	Tasa de empleo de la población	2017T1	54,36
Hombres	04 Almería	Tasa de empleo de la población	2016T4	51,60
Hombres	04 Almería	Tasa de empleo de la población	2016T3	54,12
Hombres	04 Almería	Tasa de empleo de la población	2016T2	51,00
Hombres	04 Almería	Tasa de empleo de la población	2016T1	50,47
Hombres	04 Almería	Tasa de empleo de la población	2015T4	51,69
Hombres	04 Almería	Tasa de empleo de la población	2015T3	48,49
Hombres	04 Almería	Tasa de empleo de la población	2015T2	48,83
Hombres	04 Almería	Tasa de empleo de la población	2015T1	49,51
Hombres	04 Almería	Tasa de empleo de la población	2014T4	47,16
Hombres	04 Almería	Tasa de empleo de la población	2014T3	46,59
Hombres	04 Almería	Tasa de empleo de la población	2014T2	49,18
Hombres	04 Almería	Tasa de empleo de la población	2014T1	49,72
Hombres	04 Almería	Tasa de empleo de la población	2013T4	48,39
Hombres	04 Almería	Tasa de empleo de la población	2013T3	46,44
Hombres	04 Almería	Tasa de empleo de la población	2013T2	48,33
Hombres	04 Almería	Tasa de empleo de la población	2013T1	45,19
Hombres	04 Almería	Tasa de empleo de la población	2012T4	47,40
Hombres	04 Almería	Tasa de empleo de la población	2012T3	44,49
Hombres	04 Almería	Tasa de empleo de la población	2012T2	46,43
Hombres	04 Almería	Tasa de empleo de la población	2012T1	45,07
Hombres	04 Almería	Tasa de empleo de la población	2011T4	46,99
Hombres	04 Almería	Tasa de empleo de la población	2011T3	48,39
Hombres	04 Almería	Tasa de empleo de la población	2011T2	48,44
Hombres	04 Almería	Tasa de empleo de la población	2011T1	50,10
Hombres	04 Almería	Tasa de empleo de la población	2010T4	52,60
Hombres	04 Almería	Tasa de empleo de la población	2010T3	52,81
Hombres	04 Almería	Tasa de empleo de la población	2010T2	48,59
