Comunidades y Ciudades Autónomas	Tasa de riesgo de pobreza	Periodo	Total
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	28,1
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	25,5
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	25,2
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	23,4
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	31,6
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	27,7
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	25,0
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	27,7
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	26,8
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	18,0
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	17,3
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	19,9
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	17,6
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	15,3
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	14,9
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	20,6
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	17,8
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	17,7
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	16,7
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	20,1
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	13,9
06 Cantabria	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	14,3
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	14,2
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	12,0
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	15,4
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	13,0
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	15,3
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	13,9
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	19,2
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	13,2
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	16,1
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	14,7
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	14,6
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	13,8
06 Cantabria	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	13,1
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	15,1
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	12,9
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	16,1
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	15,4
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	17,7
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	18,3
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	20,4
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	17,5
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	15,9
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	17,6
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	19,5
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	18,8
07 Castilla y León	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	17,5
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	13,4
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	11,7
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	14,0
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	14,1
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	16,4
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	15,9
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	17,0
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	14,9
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	14,0
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	13,6
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	16,8
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	14,7
07 Castilla y León	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	15,0
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	25,1
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	26,2
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	29,9
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	28,1
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	31,7
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	28,5
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	28,4
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	31,3
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	30,0
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	29,4
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	28,3
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	24,8
08 Castilla - La Mancha	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	26,4
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	20,2
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	25,1
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	26,1
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	26,9
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	26,7
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	23,8
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	24,0
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	27,2
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	26,4
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	21,9
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	24,8
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	20,1
08 Castilla - La Mancha	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	23,1
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	16,7
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	13,9
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	13,6
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	15,0
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	13,2
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	13,9
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	15,8
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	13,9
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	15,8
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	14,2
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	14,7
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	15,2
09 Cataluña	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	12,3
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	15,7
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	12,6
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	12,6
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	13,3
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	12,6
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	13,5
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	14,4
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	14,7
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	15,2
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	14,7
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	15,1
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	14,8
09 Cataluña	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	11,8
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	24,6
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	23,7
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	26,0
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	25,6
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	24,4
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	25,3
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	26,2
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	23,6
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	25,0
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	22,0
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	22,7
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	20,9
10 Comunitat Valenciana	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	23,6
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	22,2
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	20,6
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	23,0
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	24,2
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	23,1
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	23,0
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	24,4
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	20,9
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	22,5
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	17,8
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	18,1
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	17,7
10 Comunitat Valenciana	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	19,2
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	31,4
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	31,5
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	37,6
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	38,8
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	30,4
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	29,0
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	33,1
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	30,9
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	29,4
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	31,7
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	35,7
