"Año";"Periodo";"Parámetro";"Salida y puesta del sol"
"2019";"Enero";"Melilla";"10,08"
"2019";"Febrero";"Álava";"10,54"
"2019";"Febrero";"Albacete";"10,74"
"2019";"Febrero";"Alicante";"10,77"
"2019";"Febrero";"Almería";"10,84"
"2019";"Febrero";"Ávila";"10,66"
"2019";"Febrero";"Badajoz";"10,74"
"2019";"Febrero";"Islas Baleares";"10,71"
"2019";"Febrero";"Barcelona";"10,62"
"2019";"Febrero";"Burgos";"10,57"
"2019";"Febrero";"Cáceres";"10,72"
"2019";"Febrero";"Cádiz";"10,85"
"2019";"Febrero";"Castellón";"10,69"
"2019";"Febrero";"Ciudad Real";"10,74"
"2019";"Febrero";"Córdoba";"10,79"
"2019";"Febrero";"A Coruña";"10,51"
"2019";"Febrero";"Cuenca";"10,68"
"2019";"Febrero";"Girona";"10,59"
"2019";"Febrero";"Granada";"10,83"
"2019";"Febrero";"Guadalajara";"10,66"
"2019";"Febrero";"Guipúzcoa ";"10,51"
"2019";"Febrero";"Huelva";"10,82"
"2019";"Febrero";"Huesca";"10,58"
"2019";"Febrero";"Jaén";"10,8"
"2019";"Febrero";"León";"10,55"
"2019";"Febrero";"Lleida";"10,6"
"2019";"Febrero";"La Rioja";"10,56"
"2019";"Febrero";"Lugo";"10,53"
"2019";"Febrero";"Madrid";"10,67"
"2019";"Febrero";"Málaga";"10,85"
"2019";"Febrero";"Murcia";"10,78"
"2019";"Febrero";"Navarra";"10,54"
"2019";"Febrero";"Ourense";"10,57"
"2019";"Febrero";"Asturias";"10,51"
"2019";"Febrero";"Palencia";"10,59"
"2019";"Febrero";"Las Palmas";"11,2"
"2019";"Febrero";"Pontevedra";"10,56"
"2019";"Febrero";"Salamanca";"10,64"
"2019";"Febrero";"Santa Cruz de Tenerife";"11,19"
"2019";"Febrero";"Cantabria";"10,51"
"2019";"Febrero";"Segovia";"10,64"
"2019";"Febrero";"Sevilla";"10,81"
"2019";"Febrero";"Soria";"10,6"
"2019";"Febrero";"Tarragona";"10,63"
"2019";"Febrero";"Teruel";"10,67"
"2019";"Febrero";"Toledo";"10,7"
"2019";"Febrero";"Valencia";"10,72"
"2019";"Febrero";"Valladolid";"10,61"
"2019";"Febrero";"Vizcaya";"10,52"
"2019";"Febrero";"Zamora";"10,61"
"2019";"Febrero";"Zaragoza";"10,6"
"2019";"Febrero";"Ceuta";"10,88"
"2019";"Febrero";"Melilla";"10,91"
"2019";"Marzo";"Álava";"11,93"
"2019";"Marzo";"Albacete";"11,95"
"2019";"Marzo";"Alicante";"11,96"
"2019";"Marzo";"Almería";"11,96"
"2019";"Marzo";"Ávila";"11,95"
"2019";"Marzo";"Badajoz";"11,95"
"2019";"Marzo";"Islas Baleares";"11,95"
"2019";"Marzo";"Barcelona";"11,94"
"2019";"Marzo";"Burgos";"11,94"
"2019";"Marzo";"Cáceres";"11,95"
"2019";"Marzo";"Cádiz";"11,97"
"2019";"Marzo";"Castellón";"11,95"
"2019";"Marzo";"Ciudad Real";"11,95"
"2019";"Marzo";"Córdoba";"11,96"
"2019";"Marzo";"A Coruña";"11,93"
"2019";"Marzo";"Cuenca";"11,95"
"2019";"Marzo";"Girona";"11,94"
"2019";"Marzo";"Granada";"11,96"
"2019";"Marzo";"Guadalajara";"11,95"
"2019";"Marzo";"Guipúzcoa ";"11,93"
"2019";"Marzo";"Huelva";"11,96"
"2019";"Marzo";"Huesca";"11,94"
"2019";"Marzo";"Jaén";"11,96"
"2019";"Marzo";"León";"11,94"
"2019";"Marzo";"Lleida";"11,94"
"2019";"Marzo";"La Rioja";"11,94"
"2019";"Marzo";"Lugo";"11,93"
"2019";"Marzo";"Madrid";"11,95"
"2019";"Marzo";"Málaga";"11,96"
"2019";"Marzo";"Murcia";"11,96"
"2019";"Marzo";"Navarra";"11,94"
"2019";"Marzo";"Ourense";"11,94"
"2019";"Marzo";"Asturias";"11,93"
"2019";"Marzo";"Palencia";"11,94"
"2019";"Marzo";"Las Palmas";"12"
"2019";"Marzo";"Pontevedra";"11,94"
"2019";"Marzo";"Salamanca";"11,95"
"2019";"Marzo";"Santa Cruz de Tenerife";"12"
"2019";"Marzo";"Cantabria";"11,93"
"2019";"Marzo";"Segovia";"11,94"
"2019";"Marzo";"Sevilla";"11,96"
"2019";"Marzo";"Soria";"11,94"
"2019";"Marzo";"Tarragona";"11,94"
"2019";"Marzo";"Teruel";"11,95"
"2019";"Marzo";"Toledo";"11,95"
"2019";"Marzo";"Valencia";"11,95"
"2019";"Marzo";"Valladolid";"11,94"
"2019";"Marzo";"Vizcaya";"11,93"
"2019";"Marzo";"Zamora";"11,94"
"2019";"Marzo";"Zaragoza";"11,94"
"2019";"Marzo";"Ceuta";"11,97"
"2019";"Marzo";"Melilla";"11,97"
"2019";"Abril";"Álava";"13,39"
"2019";"Abril";"Albacete";"13,23"
"2019";"Abril";"Alicante";"13,2"
"2019";"Abril";"Almería";"13,14"
"2019";"Abril";"Ávila";"13,3"
"2019";"Abril";"Badajoz";"13,22"
"2019";"Abril";"Islas Baleares";"13,25"
"2019";"Abril";"Barcelona";"13,33"
"2019";"Abril";"Burgos";"13,37"
"2019";"Abril";"Cáceres";"13,25"
"2019";"Abril";"Cádiz";"13,13"
"2019";"Abril";"Castellón";"13,26"
"2019";"Abril";"Ciudad Real";"13,23"
"2019";"Abril";"Córdoba";"13,18"
"2019";"Abril";"A Coruña";"13,42"
"2019";"Abril";"Cuenca";"13,27"
"2019";"Abril";"Girona";"13,35"
"2019";"Abril";"Granada";"13,15"
"2019";"Abril";"Guadalajara";"13,3"
"2019";"Abril";"Guipúzcoa ";"13,42"
"2019";"Abril";"Huelva";"13,16"
"2019";"Abril";"Huesca";"13,36"
"2019";"Abril";"Jaén";"13,18"
"2019";"Abril";"León";"13,38"
"2019";"Abril";"Lleida";"13,34"
"2019";"Abril";"La Rioja";"13,38"
"2019";"Abril";"Lugo";"13,4"
"2019";"Abril";"Madrid";"13,28"
"2019";"Abril";"Málaga";"13,14"
"2019";"Abril";"Murcia";"13,18"
"2019";"Abril";"Navarra";"13,39"
"2019";"Abril";"Ourense";"13,37"
"2019";"Abril";"Asturias";"13,42"
"2019";"Abril";"Palencia";"13,36"
"2019";"Abril";"Las Palmas";"12,84"
"2019";"Abril";"Pontevedra";"13,38"
"2019";"Abril";"Salamanca";"13,31"
"2019";"Abril";"Santa Cruz de Tenerife";"12,85"
"2019";"Abril";"Cantabria";"13,42"
"2019";"Abril";"Segovia";"13,31"
"2019";"Abril";"Sevilla";"13,16"
"2019";"Abril";"Soria";"13,35"
"2019";"Abril";"Tarragona";"13,32"
"2019";"Abril";"Teruel";"13,28"
"2019";"Abril";"Toledo";"13,26"
"2019";"Abril";"Valencia";"13,25"
"2019";"Abril";"Valladolid";"13,34"
"2019";"Abril";"Vizcaya";"13,41"
"2019";"Abril";"Zamora";"13,33"
"2019";"Abril";"Zaragoza";"13,34"
"2019";"Abril";"Ceuta";"13,1"
"2019";"Abril";"Melilla";"13,08"
"2019";"Mayo";"Álava";"14,64"
"2019";"Mayo";"Albacete";"14,31"
"2019";"Mayo";"Alicante";"14,25"
"2019";"Mayo";"Almería";"14,14"
"2019";"Mayo";"Ávila";"14,45"
"2019";"Mayo";"Badajoz";"14,3"
"2019";"Mayo";"Islas Baleares";"14,35"
"2019";"Mayo";"Barcelona";"14,51"
"2019";"Mayo";"Burgos";"14,6"
"2019";"Mayo";"Cáceres";"14,35"
"2019";"Mayo";"Cádiz";"14,11"
"2019";"Mayo";"Castellón";"14,39"
"2019";"Mayo";"Ciudad Real";"14,31"
"2019";"Mayo";"Córdoba";"14,22"
"2019";"Mayo";"A Coruña";"14,69"
"2019";"Mayo";"Cuenca";"14,4"
"2019";"Mayo";"Girona";"14,56"
"2019";"Mayo";"Granada";"14,16"
"2019";"Mayo";"Guadalajara";"14,44"
"2019";"Mayo";"Guipúzcoa ";"14,69"
"2019";"Mayo";"Huelva";"14,17"
"2019";"Mayo";"Huesca";"14,58"
"2019";"Mayo";"Jaén";"14,21"
"2019";"Mayo";"León";"14,62"
"2019";"Mayo";"Lleida";"14,53"
"2019";"Mayo";"La Rioja";"14,6"
"2019";"Mayo";"Lugo";"14,66"
"2019";"Mayo";"Madrid";"14,43"
"2019";"Mayo";"Málaga";"14,13"
"2019";"Mayo";"Murcia";"14,23"
"2019";"Mayo";"Navarra";"14,64"
"2019";"Mayo";"Ourense";"14,6"
"2019";"Mayo";"Asturias";"14,69"
"2019";"Mayo";"Palencia";"14,57"
"2019";"Mayo";"Las Palmas";"13,54"
"2019";"Mayo";"Pontevedra";"14,6"
"2019";"Mayo";"Salamanca";"14,47"
"2019";"Mayo";"Santa Cruz de Tenerife";"13,56"
"2019";"Mayo";"Cantabria";"14,7"
"2019";"Mayo";"Segovia";"14,47"
"2019";"Mayo";"Sevilla";"14,18"
"2019";"Mayo";"Soria";"14,54"
"2019";"Mayo";"Tarragona";"14,49"
"2019";"Mayo";"Teruel";"14,42"
"2019";"Mayo";"Toledo";"14,38"
"2019";"Mayo";"Valencia";"14,35"
"2019";"Mayo";"Valladolid";"14,53"
"2019";"Mayo";"Vizcaya";"14,68"
"2019";"Mayo";"Zamora";"14,52"
"2019";"Mayo";"Zaragoza";"14,53"
"2019";"Mayo";"Ceuta";"14,07"
"2019";"Mayo";"Melilla";"14,02"
"2019";"Junio";"Álava";"15,28"
"2019";"Junio";"Albacete";"14,86"
"2019";"Junio";"Alicante";"14,79"
"2019";"Junio";"Almería";"14,64"
"2019";"Junio";"Ávila";"15,04"
"2019";"Junio";"Badajoz";"14,85"
"2019";"Junio";"Islas Baleares";"14,92"
"2019";"Junio";"Barcelona";"15,12"
"2019";"Junio";"Burgos";"15,23"
"2019";"Junio";"Cáceres";"14,91"
"2019";"Junio";"Cádiz";"14,61"
"2019";"Junio";"Castellón";"14,96"
"2019";"Junio";"Ciudad Real";"14,85"
"2019";"Junio";"Córdoba";"14,74"
"2019";"Junio";"A Coruña";"15,35"
"2019";"Junio";"Cuenca";"14,97"
"2019";"Junio";"Girona";"15,18"
"2019";"Junio";"Granada";"14,68"
"2019";"Junio";"Guadalajara";"15,03"
"2019";"Junio";"Guipúzcoa ";"15,34"
"2019";"Junio";"Huelva";"14,68"
"2019";"Junio";"Huesca";"15,2"
"2019";"Junio";"Jaén";"14,73"
"2019";"Junio";"León";"15,26"
"2019";"Junio";"Lleida";"15,14"
"2019";"Junio";"La Rioja";"15,24"
"2019";"Junio";"Lugo";"15,3"
"2019";"Junio";"Madrid";"15,01"
"2019";"Junio";"Málaga";"14,63"
"2019";"Junio";"Murcia";"14,76"
"2019";"Junio";"Navarra";"15,28"
"2019";"Junio";"Ourense";"15,22"
"2019";"Junio";"Asturias";"15,35"
"2019";"Junio";"Palencia";"15,19"
"2019";"Junio";"Las Palmas";"13,9"
"2019";"Junio";"Pontevedra";"15,24"
"2019";"Junio";"Salamanca";"15,07"
"2019";"Junio";"Santa Cruz de Tenerife";"13,92"
"2019";"Junio";"Cantabria";"15,36"
"2019";"Junio";"Segovia";"15,07"
"2019";"Junio";"Sevilla";"14,7"
"2019";"Junio";"Soria";"15,16"
"2019";"Junio";"Tarragona";"15,09"
"2019";"Junio";"Teruel";"15"
"2019";"Junio";"Toledo";"14,95"
"2019";"Junio";"Valencia";"14,91"
"2019";"Junio";"Valladolid";"15,14"
"2019";"Junio";"Vizcaya";"15,34"
"2019";"Junio";"Zamora";"15,13"
"2019";"Junio";"Zaragoza";"15,15"
"2019";"Junio";"Ceuta";"14,56"
"2019";"Junio";"Melilla";"14,5"
"2019";"Julio";"Álava";"14,98"
"2019";"Julio";"Albacete";"14,6"
"2019";"Julio";"Alicante";"14,54"
"2019";"Julio";"Almería";"14,4"
"2019";"Julio";"Ávila";"14,75"
"2019";"Julio";"Badajoz";"14,58"
"2019";"Julio";"Islas Baleares";"14,65"
"2019";"Julio";"Barcelona";"14,83"
"2019";"Julio";"Burgos";"14,92"
"2019";"Julio";"Cáceres";"14,64"
"2019";"Julio";"Cádiz";"14,37"
"2019";"Julio";"Castellón";"14,69"
"2019";"Julio";"Ciudad Real";"14,59"
"2019";"Julio";"Córdoba";"14,49"
"2019";"Julio";"A Coruña";"15,03"
"2019";"Julio";"Cuenca";"14,7"
"2019";"Julio";"Girona";"14,89"
"2019";"Julio";"Granada";"14,43"
"2019";"Julio";"Guadalajara";"14,75"
"2019";"Julio";"Guipúzcoa ";"15,03"
"2019";"Julio";"Huelva";"14,44"
"2019";"Julio";"Huesca";"14,9"
"2019";"Julio";"Jaén";"14,48"
"2019";"Julio";"León";"14,95"
"2019";"Julio";"Lleida";"14,85"
"2019";"Julio";"La Rioja";"14,93"
"2019";"Julio";"Lugo";"14,99"
"2019";"Julio";"Madrid";"14,73"
"2019";"Julio";"Málaga";"14,39"
"2019";"Julio";"Murcia";"14,5"
"2019";"Julio";"Navarra";"14,98"
"2019";"Julio";"Ourense";"14,92"
"2019";"Julio";"Asturias";"15,03"
"2019";"Julio";"Palencia";"14,89"
"2019";"Julio";"Las Palmas";"13,73"
"2019";"Julio";"Pontevedra";"14,93"
"2019";"Julio";"Salamanca";"14,78"
"2019";"Julio";"Santa Cruz de Tenerife";"13,75"
"2019";"Julio";"Cantabria";"15,05"
"2019";"Julio";"Segovia";"14,78"
"2019";"Julio";"Sevilla";"14,45"
"2019";"Julio";"Soria";"14,86"
"2019";"Julio";"Tarragona";"14,8"
"2019";"Julio";"Teruel";"14,72"
"2019";"Julio";"Toledo";"14,68"
"2019";"Julio";"Valencia";"14,64"
"2019";"Julio";"Valladolid";"14,85"
"2019";"Julio";"Vizcaya";"15,02"
"2019";"Julio";"Zamora";"14,84"
"2019";"Julio";"Zaragoza";"14,85"
"2019";"Julio";"Ceuta";"14,32"
"2019";"Julio";"Melilla";"14,27"
"2019";"Agosto";"Álava";"13,89"
"2019";"Agosto";"Albacete";"13,66"
"2019";"Agosto";"Alicante";"13,62"
"2019";"Agosto";"Almería";"13,54"
"2019";"Agosto";"Ávila";"13,75"
"2019";"Agosto";"Badajoz";"13,65"
"2019";"Agosto";"Islas Baleares";"13,69"
"2019";"Agosto";"Barcelona";"13,8"
"2019";"Agosto";"Burgos";"13,86"
"2019";"Agosto";"Cáceres";"13,69"
"2019";"Agosto";"Cádiz";"13,52"
"2019";"Agosto";"Castellón";"13,72"
"2019";"Agosto";"Ciudad Real";"13,66"
"2019";"Agosto";"Córdoba";"13,59"
"2019";"Agosto";"A Coruña";"13,93"
"2019";"Agosto";"Cuenca";"13,72"
"2019";"Agosto";"Girona";"13,84"
"2019";"Agosto";"Granada";"13,56"
"2019";"Agosto";"Guadalajara";"13,75"
"2019";"Agosto";"Guipúzcoa ";"13,92"
"2019";"Agosto";"Huelva";"13,56"
"2019";"Agosto";"Huesca";"13,85"
"2019";"Agosto";"Jaén";"13,59"
"2019";"Agosto";"León";"13,88"
"2019";"Agosto";"Lleida";"13,81"
"2019";"Agosto";"La Rioja";"13,87"
"2019";"Agosto";"Lugo";"13,9"
"2019";"Agosto";"Madrid";"13,74"
"2019";"Agosto";"Málaga";"13,53"
"2019";"Agosto";"Murcia";"13,6"
"2019";"Agosto";"Navarra";"13,89"
"2019";"Agosto";"Ourense";"13,86"
"2019";"Agosto";"Asturias";"13,93"
"2019";"Agosto";"Palencia";"13,84"
"2019";"Agosto";"Las Palmas";"13,12"
"2019";"Agosto";"Pontevedra";"13,86"
"2019";"Agosto";"Salamanca";"13,77"
"2019";"Agosto";"Santa Cruz de Tenerife";"13,13"
"2019";"Agosto";"Cantabria";"13,93"
"2019";"Agosto";"Segovia";"13,77"
"2019";"Agosto";"Sevilla";"13,57"
"2019";"Agosto";"Soria";"13,82"
"2019";"Agosto";"Tarragona";"13,79"
"2019";"Agosto";"Teruel";"13,74"
"2019";"Agosto";"Toledo";"13,71"
"2019";"Agosto";"Valencia";"13,69"
"2019";"Agosto";"Valladolid";"13,82"
"2019";"Agosto";"Vizcaya";"13,92"
"2019";"Agosto";"Zamora";"13,81"
"2019";"Agosto";"Zaragoza";"13,82"
"2019";"Agosto";"Ceuta";"13,49"
"2019";"Agosto";"Melilla";"13,46"
"2019";"Septiembre";"Álava";"12,5"
"2019";"Septiembre";"Albacete";"12,45"
"2019";"Septiembre";"Alicante";"12,44"
"2019";"Septiembre";"Almería";"12,42"
"2019";"Septiembre";"Ávila";"12,47"
"2019";"Septiembre";"Badajoz";"12,44"
"2019";"Septiembre";"Islas Baleares";"12,45"
"2019";"Septiembre";"Barcelona";"12,48"
"2019";"Septiembre";"Burgos";"12,49"
"2019";"Septiembre";"Cáceres";"12,45"
"2019";"Septiembre";"Cádiz";"12,42"
"2019";"Septiembre";"Castellón";"12,46"
"2019";"Septiembre";"Ciudad Real";"12,44"
"2019";"Septiembre";"Córdoba";"12,43"
"2019";"Septiembre";"A Coruña";"12,51"
"2019";"Septiembre";"Cuenca";"12,46"
"2019";"Septiembre";"Girona";"12,49"
"2019";"Septiembre";"Granada";"12,42"
"2019";"Septiembre";"Guadalajara";"12,46"
"2019";"Septiembre";"Guipúzcoa ";"12,51"
"2019";"Septiembre";"Huelva";"12,42"
"2019";"Septiembre";"Huesca";"12,49"
"2019";"Septiembre";"Jaén";"12,43"
"2019";"Septiembre";"León";"12,49"
"2019";"Septiembre";"Lleida";"12,48"
"2019";"Septiembre";"La Rioja";"12,49"
"2019";"Septiembre";"Lugo";"12,5"
"2019";"Septiembre";"Madrid";"12,46"
"2019";"Septiembre";"Málaga";"12,42"
"2019";"Septiembre";"Murcia";"12,43"
"2019";"Septiembre";"Navarra";"12,5"
"2019";"Septiembre";"Ourense";"12,49"
"2019";"Septiembre";"Asturias";"12,5"
"2019";"Septiembre";"Palencia";"12,49"
"2019";"Septiembre";"Las Palmas";"12,32"
"2019";"Septiembre";"Pontevedra";"12,49"
"2019";"Septiembre";"Salamanca";"12,47"
"2019";"Septiembre";"Santa Cruz de Tenerife";"12,33"
"2019";"Septiembre";"Cantabria";"12,51"
"2019";"Septiembre";"Segovia";"12,46"
"2019";"Septiembre";"Sevilla";"12,42"
"2019";"Septiembre";"Soria";"12,48"
"2019";"Septiembre";"Tarragona";"12,47"
"2019";"Septiembre";"Teruel";"12,47"
"2019";"Septiembre";"Toledo";"12,46"
"2019";"Septiembre";"Valencia";"12,45"
"2019";"Septiembre";"Valladolid";"12,48"
"2019";"Septiembre";"Vizcaya";"12,5"
"2019";"Septiembre";"Zamora";"12,48"
"2019";"Septiembre";"Zaragoza";"12,48"
"2019";"Septiembre";"Ceuta";"12,41"
"2019";"Septiembre";"Melilla";"12,4"
"2019";"Octubre";"Álava";"11,05"
"2019";"Octubre";"Albacete";"11,18"
"2019";"Octubre";"Alicante";"11,2"
"2019";"Octubre";"Almería";"11,25"
"2019";"Octubre";"Ávila";"11,13"
"2019";"Octubre";"Badajoz";"11,18"
"2019";"Octubre";"Islas Baleares";"11,16"
"2019";"Octubre";"Barcelona";"11,1"
"2019";"Octubre";"Burgos";"11,07"
"2019";"Octubre";"Cáceres";"11,17"
"2019";"Octubre";"Cádiz";"11,26"
"2019";"Octubre";"Castellón";"11,15"
"2019";"Octubre";"Ciudad Real";"11,18"
"2019";"Octubre";"Córdoba";"11,22"
"2019";"Octubre";"A Coruña";"11,03"
"2019";"Octubre";"Cuenca";"11,15"
"2019";"Octubre";"Girona";"11,08"
"2019";"Octubre";"Granada";"11,24"
"2019";"Octubre";"Guadalajara";"11,13"
"2019";"Octubre";"Guipúzcoa ";"11,03"
"2019";"Octubre";"Huelva";"11,23"
"2019";"Octubre";"Huesca";"11,07"
"2019";"Octubre";"Jaén";"11,22"
"2019";"Octubre";"León";"11,06"
"2019";"Octubre";"Lleida";"11,09"
"2019";"Octubre";"La Rioja";"11,06"
"2019";"Octubre";"Lugo";"11,04"
"2019";"Octubre";"Madrid";"11,13"
"2019";"Octubre";"Málaga";"11,25"
"2019";"Octubre";"Murcia";"11,21"
"2019";"Octubre";"Navarra";"11,05"
"2019";"Octubre";"Ourense";"11,07"
"2019";"Octubre";"Asturias";"11,03"
"2019";"Octubre";"Palencia";"11,08"
"2019";"Octubre";"Las Palmas";"11,49"
"2019";"Octubre";"Pontevedra";"11,06"
"2019";"Octubre";"Salamanca";"11,12"
"2019";"Octubre";"Santa Cruz de Tenerife";"11,48"
"2019";"Octubre";"Cantabria";"11,03"
"2019";"Octubre";"Segovia";"11,12"
"2019";"Octubre";"Sevilla";"11,23"
"2019";"Octubre";"Soria";"11,09"
"2019";"Octubre";"Tarragona";"11,11"
"2019";"Octubre";"Teruel";"11,14"
"2019";"Octubre";"Toledo";"11,15"
"2019";"Octubre";"Valencia";"11,17"
"2019";"Octubre";"Valladolid";"11,09"
"2019";"Octubre";"Vizcaya";"11,03"
"2019";"Octubre";"Zamora";"11,1"
"2019";"Octubre";"Zaragoza";"11,09"
"2019";"Octubre";"Ceuta";"11,28"
"2019";"Octubre";"Melilla";"11,3"
"2019";"Noviembre";"Álava";"9,77"
"2019";"Noviembre";"Albacete";"10,07"
"2019";"Noviembre";"Alicante";"10,12"
"2019";"Noviembre";"Almería";"10,22"
"2019";"Noviembre";"Ávila";"9,94"
"2019";"Noviembre";"Badajoz";"10,08"
"2019";"Noviembre";"Islas Baleares";"10,03"
"2019";"Noviembre";"Barcelona";"9,89"
"2019";"Noviembre";"Burgos";"9,81"
"2019";"Noviembre";"Cáceres";"10,03"
"2019";"Noviembre";"Cádiz";"10,25"
"2019";"Noviembre";"Castellón";"10"
"2019";"Noviembre";"Ciudad Real";"10,07"
"2019";"Noviembre";"Córdoba";"10,15"
"2019";"Noviembre";"A Coruña";"9,72"
"2019";"Noviembre";"Cuenca";"9,99"
"2019";"Noviembre";"Girona";"9,84"
"2019";"Noviembre";"Granada";"10,2"
"2019";"Noviembre";"Guadalajara";"9,95"
"2019";"Noviembre";"Guipúzcoa ";"9,73"
"2019";"Noviembre";"Huelva";"10,19"
"2019";"Noviembre";"Huesca";"9,83"
"2019";"Noviembre";"Jaén";"10,16"
"2019";"Noviembre";"León";"9,79"
"2019";"Noviembre";"Lleida";"9,87"
"2019";"Noviembre";"La Rioja";"9,8"
"2019";"Noviembre";"Lugo";"9,75"
"2019";"Noviembre";"Madrid";"9,96"
"2019";"Noviembre";"Málaga";"10,23"
"2019";"Noviembre";"Murcia";"10,15"
"2019";"Noviembre";"Navarra";"9,77"
"2019";"Noviembre";"Ourense";"9,81"
"2019";"Noviembre";"Asturias";"9,72"
"2019";"Noviembre";"Palencia";"9,84"
"2019";"Noviembre";"Las Palmas";"10,77"
"2019";"Noviembre";"Pontevedra";"9,8"
"2019";"Noviembre";"Salamanca";"9,92"
"2019";"Noviembre";"Santa Cruz de Tenerife";"10,75"
"2019";"Noviembre";"Cantabria";"9,72"
"2019";"Noviembre";"Segovia";"9,92"
"2019";"Noviembre";"Sevilla";"10,19"
"2019";"Noviembre";"Soria";"9,86"
"2019";"Noviembre";"Tarragona";"9,91"
"2019";"Noviembre";"Teruel";"9,97"
"2019";"Noviembre";"Toledo";"10,01"
"2019";"Noviembre";"Valencia";"10,03"
"2019";"Noviembre";"Valladolid";"9,87"
"2019";"Noviembre";"Vizcaya";"9,73"
"2019";"Noviembre";"Zamora";"9,88"
"2019";"Noviembre";"Zaragoza";"9,87"
"2019";"Noviembre";"Ceuta";"10,29"
"2019";"Noviembre";"Melilla";"10,33"
"2019";"Diciembre";"Álava";"9,09"
"2019";"Diciembre";"Albacete";"9,49"
"2019";"Diciembre";"Alicante";"9,55"
"2019";"Diciembre";"Almería";"9,69"
"2019";"Diciembre";"Ávila";"9,32"
"2019";"Diciembre";"Badajoz";"9,5"
"2019";"Diciembre";"Islas Baleares";"9,43"
"2019";"Diciembre";"Barcelona";"9,25"
"2019";"Diciembre";"Burgos";"9,14"
"2019";"Diciembre";"Cáceres";"9,44"
"2019";"Diciembre";"Cádiz";"9,72"
"2019";"Diciembre";"Castellón";"9,39"
"2019";"Diciembre";"Ciudad Real";"9,49"
"2019";"Diciembre";"Córdoba";"9,59"
"2019";"Diciembre";"A Coruña";"9,03"
"2019";"Diciembre";"Cuenca";"9,38"
"2019";"Diciembre";"Girona";"9,18"
"2019";"Diciembre";"Granada";"9,66"
"2019";"Diciembre";"Guadalajara";"9,32"
"2019";"Diciembre";"Guipúzcoa ";"9,03"
"2019";"Diciembre";"Huelva";"9,65"
"2019";"Diciembre";"Huesca";"9,17"
"2019";"Diciembre";"Jaén";"9,6"
"2019";"Diciembre";"León";"9,12"
"2019";"Diciembre";"Lleida";"9,22"
"2019";"Diciembre";"La Rioja";"9,13"
"2019";"Diciembre";"Lugo";"9,07"
"2019";"Diciembre";"Madrid";"9,35"
"2019";"Diciembre";"Málaga";"9,7"
"2019";"Diciembre";"Murcia";"9,58"
"2019";"Diciembre";"Navarra";"9,09"
"2019";"Diciembre";"Ourense";"9,15"
"2019";"Diciembre";"Asturias";"9,03"
"2019";"Diciembre";"Palencia";"9,18"
"2019";"Diciembre";"Las Palmas";"10,4"
"2019";"Diciembre";"Pontevedra";"9,14"
"2019";"Diciembre";"Salamanca";"9,29"
"2019";"Diciembre";"Santa Cruz de Tenerife";"10,37"
"2019";"Diciembre";"Cantabria";"9,02"
"2019";"Diciembre";"Segovia";"9,29"
"2019";"Diciembre";"Sevilla";"9,64"
"2019";"Diciembre";"Soria";"9,21"
"2019";"Diciembre";"Tarragona";"9,27"
"2019";"Diciembre";"Teruel";"9,35"
"2019";"Diciembre";"Toledo";"9,4"
