,Sexo,codPr,Provincias,Periodo,Year,Trimestre,mes,date,actividad,empleo,paro
487,Hombres,09,Burgos,2017T2,2017,2,6,2017-06-25,63.85,59.46,6.87
488,Hombres,09,Burgos,2017T1,2017,1,3,2017-03-25,63.86,58.59,8.25
489,Hombres,09,Burgos,2016T4,2016,4,12,2016-12-25,64.83,60.17,7.2
490,Hombres,09,Burgos,2016T3,2016,3,9,2016-09-25,67.31,63.32,5.93
491,Hombres,09,Burgos,2016T2,2016,2,6,2016-06-25,68.04,60.61,10.92
492,Hombres,09,Burgos,2016T1,2016,1,3,2016-03-25,67.17,59.13,11.96
524,Hombres,10,Cáceres,2019T4,2019,4,12,2019-12-25,60.94,49.61,18.6
525,Hombres,10,Cáceres,2019T3,2019,3,9,2019-09-25,61.61,52.65,14.55
526,Hombres,10,Cáceres,2019T2,2019,2,6,2019-06-25,61.65,51.72,16.12
527,Hombres,10,Cáceres,2019T1,2019,1,3,2019-03-25,60.19,49.84,17.18
528,Hombres,10,Cáceres,2018T4,2018,4,12,2018-12-25,60.79,49.39,18.75
529,Hombres,10,Cáceres,2018T3,2018,3,9,2018-09-25,61.39,51.46,16.17
530,Hombres,10,Cáceres,2018T2,2018,2,6,2018-06-25,62.03,50.17,19.13
531,Hombres,10,Cáceres,2018T1,2018,1,3,2018-03-25,60.76,48.54,20.1
532,Hombres,10,Cáceres,2017T4,2017,4,12,2017-12-25,60.51,47.66,21.24
533,Hombres,10,Cáceres,2017T3,2017,3,9,2017-09-25,58.38,45.15,22.67
534,Hombres,10,Cáceres,2017T2,2017,2,6,2017-06-25,59.97,47.1,21.45
535,Hombres,10,Cáceres,2017T1,2017,1,3,2017-03-25,59.62,46.48,22.04
536,Hombres,10,Cáceres,2016T4,2016,4,12,2016-12-25,59.48,47.51,20.12
537,Hombres,10,Cáceres,2016T3,2016,3,9,2016-09-25,60.65,49.3,18.72
538,Hombres,10,Cáceres,2016T2,2016,2,6,2016-06-25,59.33,45.65,23.06
539,Hombres,10,Cáceres,2016T1,2016,1,3,2016-03-25,60.14,45.57,24.23
571,Hombres,11,Cádiz,2019T4,2019,4,12,2019-12-25,62.0,50.73,18.18
572,Hombres,11,Cádiz,2019T3,2019,3,9,2019-09-25,64.3,51.8,19.45
573,Hombres,11,Cádiz,2019T2,2019,2,6,2019-06-25,62.57,51.02,18.45
574,Hombres,11,Cádiz,2019T1,2019,1,3,2019-03-25,61.51,47.75,22.37
575,Hombres,11,Cádiz,2018T4,2018,4,12,2018-12-25,62.36,47.94,23.12
576,Hombres,11,Cádiz,2018T3,2018,3,9,2018-09-25,62.13,49.38,20.51
577,Hombres,11,Cádiz,2018T2,2018,2,6,2018-06-25,63.12,48.37,23.37
578,Hombres,11,Cádiz,2018T1,2018,1,3,2018-03-25,60.94,44.34,27.24
579,Hombres,11,Cádiz,2017T4,2017,4,12,2017-12-25,62.0,45.32,26.89
580,Hombres,11,Cádiz,2017T3,2017,3,9,2017-09-25,63.99,48.33,24.47
581,Hombres,11,Cádiz,2017T2,2017,2,6,2017-06-25,64.51,47.51,26.35
582,Hombres,11,Cádiz,2017T1,2017,1,3,2017-03-25,65.76,46.78,28.86
583,Hombres,11,Cádiz,2016T4,2016,4,12,2016-12-25,66.14,47.54,28.12
584,Hombres,11,Cádiz,2016T3,2016,3,9,2016-09-25,65.75,47.69,27.47
585,Hombres,11,Cádiz,2016T2,2016,2,6,2016-06-25,66.18,46.4,29.88
586,Hombres,11,Cádiz,2016T1,2016,1,3,2016-03-25,65.06,43.97,32.42
618,Hombres,39,Cantabria,2019T4,2019,4,12,2019-12-25,60.66,54.4,10.32
619,Hombres,39,Cantabria,2019T3,2019,3,9,2019-09-25,61.36,56.37,8.13
620,Hombres,39,Cantabria,2019T2,2019,2,6,2019-06-25,61.32,55.91,8.82
621,Hombres,39,Cantabria,2019T1,2019,1,3,2019-03-25,61.34,54.4,11.3
622,Hombres,39,Cantabria,2018T4,2018,4,12,2018-12-25,61.25,56.13,8.35
623,Hombres,39,Cantabria,2018T3,2018,3,9,2018-09-25,61.6,56.74,7.89
624,Hombres,39,Cantabria,2018T2,2018,2,6,2018-06-25,60.74,54.78,9.81
625,Hombres,39,Cantabria,2018T1,2018,1,3,2018-03-25,59.46,53.02,10.82
626,Hombres,39,Cantabria,2017T4,2017,4,12,2017-12-25,60.98,53.02,13.05
627,Hombres,39,Cantabria,2017T3,2017,3,9,2017-09-25,60.64,52.99,12.63
628,Hombres,39,Cantabria,2017T2,2017,2,6,2017-06-25,61.25,52.88,13.66
629,Hombres,39,Cantabria,2017T1,2017,1,3,2017-03-25,60.79,52.52,13.61
630,Hombres,39,Cantabria,2016T4,2016,4,12,2016-12-25,61.66,53.88,12.62
631,Hombres,39,Cantabria,2016T3,2016,3,9,2016-09-25,62.24,54.73,12.06
632,Hombres,39,Cantabria,2016T2,2016,2,6,2016-06-25,61.71,52.96,14.17
633,Hombres,39,Cantabria,2016T1,2016,1,3,2016-03-25,62.12,50.59,18.55
665,Hombres,12,Castellón,2019T4,2019,4,12,2019-12-25,64.84,57.8,10.86
666,Hombres,12,Castellón,2019T3,2019,3,9,2019-09-25,65.01,59.19,8.96
667,Hombres,12,Castellón,2019T2,2019,2,6,2019-06-25,64.03,56.63,11.56
668,Hombres,12,Castellón,2019T1,2019,1,3,2019-03-25,63.45,56.14,11.51
669,Hombres,12,Castellón,2018T4,2018,4,12,2018-12-25,63.12,55.48,12.1
670,Hombres,12,Castellón,2018T3,2018,3,9,2018-09-25,63.77,57.1,10.46
671,Hombres,12,Castellón,2018T2,2018,2,6,2018-06-25,64.29,56.49,12.13
672,Hombres,12,Castellón,2018T1,2018,1,3,2018-03-25,64.11,55.89,12.82
673,Hombres,12,Castellón,2017T4,2017,4,12,2017-12-25,65.03,57.37,11.77
674,Hombres,12,Castellón,2017T3,2017,3,9,2017-09-25,64.26,56.93,11.4
675,Hombres,12,Castellón,2017T2,2017,2,6,2017-06-25,63.35,54.64,13.76
676,Hombres,12,Castellón,2017T1,2017,1,3,2017-03-25,62.42,51.63,17.29
677,Hombres,12,Castellón,2016T4,2016,4,12,2016-12-25,61.85,53.1,14.14
678,Hombres,12,Castellón,2016T3,2016,3,9,2016-09-25,63.26,52.1,17.64
679,Hombres,12,Castellón,2016T2,2016,2,6,2016-06-25,62.64,52.34,16.44
680,Hombres,12,Castellón,2016T1,2016,1,3,2016-03-25,62.45,50.77,18.71
712,Hombres,13,Ciudad Real,2019T4,2019,4,12,2019-12-25,62.9,55.17,12.29
713,Hombres,13,Ciudad Real,2019T3,2019,3,9,2019-09-25,63.24,54.87,13.24
714,Hombres,13,Ciudad Real,2019T2,2019,2,6,2019-06-25,62.9,54.96,12.62
715,Hombres,13,Ciudad Real,2019T1,2019,1,3,2019-03-25,63.1,56.11,11.09
716,Hombres,13,Ciudad Real,2018T4,2018,4,12,2018-12-25,62.27,55.34,11.12
717,Hombres,13,Ciudad Real,2018T3,2018,3,9,2018-09-25,62.89,54.84,12.81
718,Hombres,13,Ciudad Real,2018T2,2018,2,6,2018-06-25,63.0,53.35,15.32
719,Hombres,13,Ciudad Real,2018T1,2018,1,3,2018-03-25,63.76,53.07,16.76
720,Hombres,13,Ciudad Real,2017T4,2017,4,12,2017-12-25,64.09,52.95,17.37
721,Hombres,13,Ciudad Real,2017T3,2017,3,9,2017-09-25,64.33,53.47,16.88
722,Hombres,13,Ciudad Real,2017T2,2017,2,6,2017-06-25,64.74,50.93,21.33
723,Hombres,13,Ciudad Real,2017T1,2017,1,3,2017-03-25,65.61,50.8,22.58
724,Hombres,13,Ciudad Real,2016T4,2016,4,12,2016-12-25,65.82,52.01,20.98
725,Hombres,13,Ciudad Real,2016T3,2016,3,9,2016-09-25,65.4,52.74,19.36
726,Hombres,13,Ciudad Real,2016T2,2016,2,6,2016-06-25,65.82,52.44,20.33
727,Hombres,13,Ciudad Real,2016T1,2016,1,3,2016-03-25,65.19,49.21,24.52
759,Hombres,14,Córdoba,2019T4,2019,4,12,2019-12-25,64.86,50.65,21.9
760,Hombres,14,Córdoba,2019T3,2019,3,9,2019-09-25,65.33,51.47,21.21
761,Hombres,14,Córdoba,2019T2,2019,2,6,2019-06-25,63.82,53.06,16.86
762,Hombres,14,Córdoba,2019T1,2019,1,3,2019-03-25,63.47,53.56,15.62
763,Hombres,14,Córdoba,2018T4,2018,4,12,2018-12-25,63.21,52.35,17.18
764,Hombres,14,Córdoba,2018T3,2018,3,9,2018-09-25,63.86,51.49,19.36
765,Hombres,14,Córdoba,2018T2,2018,2,6,2018-06-25,65.26,52.56,19.47
766,Hombres,14,Córdoba,2018T1,2018,1,3,2018-03-25,63.36,51.52,18.7
767,Hombres,14,Córdoba,2017T4,2017,4,12,2017-12-25,64.93,50.68,21.96
768,Hombres,14,Córdoba,2017T3,2017,3,9,2017-09-25,66.8,49.48,25.92
769,Hombres,14,Córdoba,2017T2,2017,2,6,2017-06-25,65.64,50.15,23.59
770,Hombres,14,Córdoba,2017T1,2017,1,3,2017-03-25,66.1,50.83,23.1
771,Hombres,14,Córdoba,2016T4,2016,4,12,2016-12-25,66.38,48.73,26.59
772,Hombres,14,Córdoba,2016T3,2016,3,9,2016-09-25,66.96,47.34,29.29
773,Hombres,14,Córdoba,2016T2,2016,2,6,2016-06-25,65.94,47.21,28.4
774,Hombres,14,Córdoba,2016T1,2016,1,3,2016-03-25,66.03,47.44,28.15
806,Hombres,15,A Coruña,2019T4,2019,4,12,2019-12-25,59.55,54.2,8.99
807,Hombres,15,A Coruña,2019T3,2019,3,9,2019-09-25,60.0,54.48,9.19
808,Hombres,15,A Coruña,2019T2,2019,2,6,2019-06-25,59.32,54.01,8.96
809,Hombres,15,A Coruña,2019T1,2019,1,3,2019-03-25,59.03,53.13,9.99
810,Hombres,15,A Coruña,2018T4,2018,4,12,2018-12-25,58.83,52.73,10.37
811,Hombres,15,A Coruña,2018T3,2018,3,9,2018-09-25,59.62,53.26,10.67
812,Hombres,15,A Coruña,2018T2,2018,2,6,2018-06-25,59.31,51.65,12.92
813,Hombres,15,A Coruña,2018T1,2018,1,3,2018-03-25,59.0,51.04,13.48
814,Hombres,15,A Coruña,2017T4,2017,4,12,2017-12-25,59.04,51.35,13.02
815,Hombres,15,A Coruña,2017T3,2017,3,9,2017-09-25,59.72,52.33,12.38
816,Hombres,15,A Coruña,2017T2,2017,2,6,2017-06-25,60.07,51.9,13.6
817,Hombres,15,A Coruña,2017T1,2017,1,3,2017-03-25,59.1,49.78,15.76
818,Hombres,15,A Coruña,2016T4,2016,4,12,2016-12-25,59.95,52.01,13.25
819,Hombres,15,A Coruña,2016T3,2016,3,9,2016-09-25,60.15,51.79,13.9
820,Hombres,15,A Coruña,2016T2,2016,2,6,2016-06-25,59.96,50.71,15.42
821,Hombres,15,A Coruña,2016T1,2016,1,3,2016-03-25,58.94,49.87,15.38
853,Hombres,16,Cuenca,2019T4,2019,4,12,2019-12-25,65.28,57.62,11.74
854,Hombres,16,Cuenca,2019T3,2019,3,9,2019-09-25,63.83,55.51,13.04
855,Hombres,16,Cuenca,2019T2,2019,2,6,2019-06-25,61.95,54.92,11.34
856,Hombres,16,Cuenca,2019T1,2019,1,3,2019-03-25,63.3,57.45,9.24
857,Hombres,16,Cuenca,2018T4,2018,4,12,2018-12-25,63.18,55.77,11.73
858,Hombres,16,Cuenca,2018T3,2018,3,9,2018-09-25,61.72,52.45,15.01
859,Hombres,16,Cuenca,2018T2,2018,2,6,2018-06-25,62.63,53.23,15.01
860,Hombres,16,Cuenca,2018T1,2018,1,3,2018-03-25,62.75,53.77,14.31
861,Hombres,16,Cuenca,2017T4,2017,4,12,2017-12-25,63.27,54.43,13.97
862,Hombres,16,Cuenca,2017T3,2017,3,9,2017-09-25,62.85,55.87,11.11
863,Hombres,16,Cuenca,2017T2,2017,2,6,2017-06-25,64.61,55.33,14.36
864,Hombres,16,Cuenca,2017T1,2017,1,3,2017-03-25,66.7,57.42,13.91
865,Hombres,16,Cuenca,2016T4,2016,4,12,2016-12-25,66.32,58.74,11.44
866,Hombres,16,Cuenca,2016T3,2016,3,9,2016-09-25,68.66,56.44,17.8
867,Hombres,16,Cuenca,2016T2,2016,2,6,2016-06-25,65.32,53.58,17.96
868,Hombres,16,Cuenca,2016T1,2016,1,3,2016-03-25,64.84,52.48,19.07
900,Hombres,20,Guipúzcoa,2019T4,2019,4,12,2019-12-25,60.28,56.06,7.01
