sexo,ccaa,edad,periodo,miles,cod_ca,year,tri
Mujeres,Andalucia,De 20 a 24 años,2011T2,75.4,01,2011,2
Mujeres,Andalucia,De 20 a 24 años,2011T1,82.9,01,2011,1
Mujeres,Andalucia,De 25 a 34 años,2020T4,295.5,01,2020,4
Mujeres,Andalucia,De 25 a 34 años,2020T3,276.6,01,2020,3
Mujeres,Andalucia,De 25 a 34 años,2020T2,260.3,01,2020,2
Mujeres,Andalucia,De 25 a 34 años,2020T1,287.4,01,2020,1
Mujeres,Andalucia,De 25 a 34 años,2019T4,298.0,01,2019,4
Mujeres,Andalucia,De 25 a 34 años,2019T3,294.3,01,2019,3
Mujeres,Andalucia,De 25 a 34 años,2019T2,297.8,01,2019,2
Mujeres,Andalucia,De 25 a 34 años,2019T1,290.8,01,2019,1
Mujeres,Andalucia,De 25 a 34 años,2018T4,282.2,01,2018,4
Mujeres,Andalucia,De 25 a 34 años,2018T3,284.0,01,2018,3
Mujeres,Andalucia,De 25 a 34 años,2018T2,291.5,01,2018,2
Mujeres,Andalucia,De 25 a 34 años,2018T1,274.5,01,2018,1
Mujeres,Andalucia,De 25 a 34 años,2017T4,287.7,01,2017,4
Mujeres,Andalucia,De 25 a 34 años,2017T3,294.0,01,2017,3
Mujeres,Andalucia,De 25 a 34 años,2017T2,297.8,01,2017,2
Mujeres,Andalucia,De 25 a 34 años,2017T1,287.0,01,2017,1
Mujeres,Andalucia,De 25 a 34 años,2016T4,280.2,01,2016,4
Mujeres,Andalucia,De 25 a 34 años,2016T3,289.8,01,2016,3
Mujeres,Andalucia,De 25 a 34 años,2016T2,299.0,01,2016,2
Mujeres,Andalucia,De 25 a 34 años,2016T1,288.4,01,2016,1
Mujeres,Andalucia,De 25 a 34 años,2015T4,293.9,01,2015,4
Mujeres,Andalucia,De 25 a 34 años,2015T3,302.2,01,2015,3
Mujeres,Andalucia,De 25 a 34 años,2015T2,317.8,01,2015,2
Mujeres,Andalucia,De 25 a 34 años,2015T1,299.2,01,2015,1
Mujeres,Andalucia,De 25 a 34 años,2014T4,297.9,01,2014,4
Mujeres,Andalucia,De 25 a 34 años,2014T3,282.4,01,2014,3
Mujeres,Andalucia,De 25 a 34 años,2014T2,297.9,01,2014,2
Mujeres,Andalucia,De 25 a 34 años,2014T1,300.8,01,2014,1
Mujeres,Andalucia,De 25 a 34 años,2013T4,298.1,01,2013,4
Mujeres,Andalucia,De 25 a 34 años,2013T3,306.9,01,2013,3
Mujeres,Andalucia,De 25 a 34 años,2013T2,317.4,01,2013,2
Mujeres,Andalucia,De 25 a 34 años,2013T1,304.0,01,2013,1
Mujeres,Andalucia,De 25 a 34 años,2012T4,316.4,01,2012,4
Mujeres,Andalucia,De 25 a 34 años,2012T3,327.7,01,2012,3
Mujeres,Andalucia,De 25 a 34 años,2012T2,348.1,01,2012,2
Mujeres,Andalucia,De 25 a 34 años,2012T1,342.2,01,2012,1
Mujeres,Andalucia,De 25 a 34 años,2011T4,340.6,01,2011,4
Mujeres,Andalucia,De 25 a 34 años,2011T3,343.6,01,2011,3
Mujeres,Andalucia,De 25 a 34 años,2011T2,352.3,01,2011,2
Mujeres,Andalucia,De 25 a 34 años,2011T1,364.0,01,2011,1
Mujeres,Andalucia,De 35 a 44 años,2020T4,390.8,01,2020,4
Mujeres,Andalucia,De 35 a 44 años,2020T3,377.5,01,2020,3
Mujeres,Andalucia,De 35 a 44 años,2020T2,370.3,01,2020,2
Mujeres,Andalucia,De 35 a 44 años,2020T1,407.6,01,2020,1
Mujeres,Andalucia,De 35 a 44 años,2019T4,424.0,01,2019,4
Mujeres,Andalucia,De 35 a 44 años,2019T3,407.3,01,2019,3
Mujeres,Andalucia,De 35 a 44 años,2019T2,418.3,01,2019,2
Mujeres,Andalucia,De 35 a 44 años,2019T1,417.6,01,2019,1
Mujeres,Andalucia,De 35 a 44 años,2018T4,413.8,01,2018,4
Mujeres,Andalucia,De 35 a 44 años,2018T3,403.0,01,2018,3
Mujeres,Andalucia,De 35 a 44 años,2018T2,408.2,01,2018,2
Mujeres,Andalucia,De 35 a 44 años,2018T1,406.6,01,2018,1
Mujeres,Andalucia,De 35 a 44 años,2017T4,405.1,01,2017,4
Mujeres,Andalucia,De 35 a 44 años,2017T3,395.9,01,2017,3
Mujeres,Andalucia,De 35 a 44 años,2017T2,417.1,01,2017,2
Mujeres,Andalucia,De 35 a 44 años,2017T1,398.7,01,2017,1
Mujeres,Andalucia,De 35 a 44 años,2016T4,391.7,01,2016,4
Mujeres,Andalucia,De 35 a 44 años,2016T3,385.2,01,2016,3
Mujeres,Andalucia,De 35 a 44 años,2016T2,386.2,01,2016,2
Mujeres,Andalucia,De 35 a 44 años,2016T1,369.0,01,2016,1
Mujeres,Andalucia,De 35 a 44 años,2015T4,374.3,01,2015,4
Mujeres,Andalucia,De 35 a 44 años,2015T3,355.0,01,2015,3
Mujeres,Andalucia,De 35 a 44 años,2015T2,377.6,01,2015,2
Mujeres,Andalucia,De 35 a 44 años,2015T1,362.9,01,2015,1
Mujeres,Andalucia,De 35 a 44 años,2014T4,364.2,01,2014,4
Mujeres,Andalucia,De 35 a 44 años,2014T3,357.3,01,2014,3
Mujeres,Andalucia,De 35 a 44 años,2014T2,370.6,01,2014,2
Mujeres,Andalucia,De 35 a 44 años,2014T1,371.0,01,2014,1
Mujeres,Andalucia,De 35 a 44 años,2013T4,360.0,01,2013,4
Mujeres,Andalucia,De 35 a 44 años,2013T3,356.6,01,2013,3
Mujeres,Andalucia,De 35 a 44 años,2013T2,371.9,01,2013,2
Mujeres,Andalucia,De 35 a 44 años,2013T1,368.3,01,2013,1
Mujeres,Andalucia,De 35 a 44 años,2012T4,362.8,01,2012,4
Mujeres,Andalucia,De 35 a 44 años,2012T3,366.8,01,2012,3
Mujeres,Andalucia,De 35 a 44 años,2012T2,367.5,01,2012,2
Mujeres,Andalucia,De 35 a 44 años,2012T1,358.1,01,2012,1
Mujeres,Andalucia,De 35 a 44 años,2011T4,357.4,01,2011,4
Mujeres,Andalucia,De 35 a 44 años,2011T3,351.2,01,2011,3
Mujeres,Andalucia,De 35 a 44 años,2011T2,368.1,01,2011,2
Mujeres,Andalucia,De 35 a 44 años,2011T1,369.3,01,2011,1
Mujeres,Andalucia,De 45 a 54 años,2020T4,349.1,01,2020,4
Mujeres,Andalucia,De 45 a 54 años,2020T3,338.5,01,2020,3
Mujeres,Andalucia,De 45 a 54 años,2020T2,342.8,01,2020,2
Mujeres,Andalucia,De 45 a 54 años,2020T1,357.5,01,2020,1
Mujeres,Andalucia,De 45 a 54 años,2019T4,350.3,01,2019,4
Mujeres,Andalucia,De 45 a 54 años,2019T3,345.5,01,2019,3
Mujeres,Andalucia,De 45 a 54 años,2019T2,352.1,01,2019,2
Mujeres,Andalucia,De 45 a 54 años,2019T1,353.7,01,2019,1
Mujeres,Andalucia,De 45 a 54 años,2018T4,344.1,01,2018,4
Mujeres,Andalucia,De 45 a 54 años,2018T3,339.5,01,2018,3
Mujeres,Andalucia,De 45 a 54 años,2018T2,347.2,01,2018,2
Mujeres,Andalucia,De 45 a 54 años,2018T1,350.2,01,2018,1
Mujeres,Andalucia,De 45 a 54 años,2017T4,342.5,01,2017,4
Mujeres,Andalucia,De 45 a 54 años,2017T3,325.9,01,2017,3
Mujeres,Andalucia,De 45 a 54 años,2017T2,333.2,01,2017,2
Mujeres,Andalucia,De 45 a 54 años,2017T1,326.6,01,2017,1
Mujeres,Andalucia,De 45 a 54 años,2016T4,322.5,01,2016,4
Mujeres,Andalucia,De 45 a 54 años,2016T3,303.8,01,2016,3
Mujeres,Andalucia,De 45 a 54 años,2016T2,317.4,01,2016,2
Mujeres,Andalucia,De 45 a 54 años,2016T1,330.4,01,2016,1
Mujeres,Andalucia,De 45 a 54 años,2015T4,328.3,01,2015,4
Mujeres,Andalucia,De 45 a 54 años,2015T3,321.9,01,2015,3
Mujeres,Andalucia,De 45 a 54 años,2015T2,316.1,01,2015,2
Mujeres,Andalucia,De 45 a 54 años,2015T1,290.2,01,2015,1
Mujeres,Andalucia,De 45 a 54 años,2014T4,295.7,01,2014,4
Mujeres,Andalucia,De 45 a 54 años,2014T3,285.7,01,2014,3
Mujeres,Andalucia,De 45 a 54 años,2014T2,294.6,01,2014,2
Mujeres,Andalucia,De 45 a 54 años,2014T1,284.1,01,2014,1
Mujeres,Andalucia,De 45 a 54 años,2013T4,271.6,01,2013,4
Mujeres,Andalucia,De 45 a 54 años,2013T3,275.6,01,2013,3
Mujeres,Andalucia,De 45 a 54 años,2013T2,293.0,01,2013,2
Mujeres,Andalucia,De 45 a 54 años,2013T1,278.6,01,2013,1
Mujeres,Andalucia,De 45 a 54 años,2012T4,285.0,01,2012,4
Mujeres,Andalucia,De 45 a 54 años,2012T3,287.1,01,2012,3
Mujeres,Andalucia,De 45 a 54 años,2012T2,283.8,01,2012,2
Mujeres,Andalucia,De 45 a 54 años,2012T1,284.6,01,2012,1
Mujeres,Andalucia,De 45 a 54 años,2011T4,278.5,01,2011,4
Mujeres,Andalucia,De 45 a 54 años,2011T3,273.7,01,2011,3
Mujeres,Andalucia,De 45 a 54 años,2011T2,276.3,01,2011,2
Mujeres,Andalucia,De 45 a 54 años,2011T1,268.7,01,2011,1
Mujeres,Andalucia,55 y más años,2020T4,230.5,01,2020,4
Mujeres,Andalucia,55 y más años,2020T3,209.1,01,2020,3
Mujeres,Andalucia,55 y más años,2020T2,207.0,01,2020,2
Mujeres,Andalucia,55 y más años,2020T1,217.6,01,2020,1
Mujeres,Andalucia,55 y más años,2019T4,215.9,01,2019,4
Mujeres,Andalucia,55 y más años,2019T3,213.3,01,2019,3
Mujeres,Andalucia,55 y más años,2019T2,215.4,01,2019,2
Mujeres,Andalucia,55 y más años,2019T1,208.5,01,2019,1
Mujeres,Andalucia,55 y más años,2018T4,200.1,01,2018,4
Mujeres,Andalucia,55 y más años,2018T3,189.8,01,2018,3
Mujeres,Andalucia,55 y más años,2018T2,194.1,01,2018,2
Mujeres,Andalucia,55 y más años,2018T1,183.3,01,2018,1
Mujeres,Andalucia,55 y más años,2017T4,177.1,01,2017,4
Mujeres,Andalucia,55 y más años,2017T3,175.1,01,2017,3
Mujeres,Andalucia,55 y más años,2017T2,178.9,01,2017,2
Mujeres,Andalucia,55 y más años,2017T1,186.5,01,2017,1
Mujeres,Andalucia,55 y más años,2016T4,183.0,01,2016,4
Mujeres,Andalucia,55 y más años,2016T3,183.6,01,2016,3
Mujeres,Andalucia,55 y más años,2016T2,179.2,01,2016,2
Mujeres,Andalucia,55 y más años,2016T1,178.5,01,2016,1
Mujeres,Andalucia,55 y más años,2015T4,174.5,01,2015,4
Mujeres,Andalucia,55 y más años,2015T3,158.3,01,2015,3
Mujeres,Andalucia,55 y más años,2015T2,154.8,01,2015,2
Mujeres,Andalucia,55 y más años,2015T1,141.7,01,2015,1
Mujeres,Andalucia,55 y más años,2014T4,139.0,01,2014,4
Mujeres,Andalucia,55 y más años,2014T3,133.7,01,2014,3
Mujeres,Andalucia,55 y más años,2014T2,131.2,01,2014,2
Mujeres,Andalucia,55 y más años,2014T1,135.6,01,2014,1
Mujeres,Andalucia,55 y más años,2013T4,130.0,01,2013,4
Mujeres,Andalucia,55 y más años,2013T3,128.9,01,2013,3
Mujeres,Andalucia,55 y más años,2013T2,126.9,01,2013,2
Mujeres,Andalucia,55 y más años,2013T1,122.2,01,2013,1
Mujeres,Andalucia,55 y más años,2012T4,123.3,01,2012,4
Mujeres,Andalucia,55 y más años,2012T3,120.8,01,2012,3
Mujeres,Andalucia,55 y más años,2012T2,117.6,01,2012,2
Mujeres,Andalucia,55 y más años,2012T1,122.8,01,2012,1
Mujeres,Andalucia,55 y más años,2011T4,126.6,01,2011,4
Mujeres,Andalucia,55 y más años,2011T3,121.5,01,2011,3
Mujeres,Andalucia,55 y más años,2011T2,119.7,01,2011,2
Mujeres,Andalucia,55 y más años,2011T1,117.6,01,2011,1
Mujeres,Aragon,De 16 a 19 años,2020T4,1.2,02,2020,4
Mujeres,Aragon,De 16 a 19 años,2020T3,1.6,02,2020,3
Mujeres,Aragon,De 16 a 19 años,2020T2,0.9,02,2020,2
Mujeres,Aragon,De 16 a 19 años,2020T1,1.4,02,2020,1
Mujeres,Aragon,De 16 a 19 años,2019T4,1.7,02,2019,4
Mujeres,Aragon,De 16 a 19 años,2019T3,2.0,02,2019,3
Mujeres,Aragon,De 16 a 19 años,2019T2,1.2,02,2019,2
Mujeres,Aragon,De 16 a 19 años,2019T1,0.5,02,2019,1
Mujeres,Aragon,De 16 a 19 años,2018T4,0.7,02,2018,4
Mujeres,Aragon,De 16 a 19 años,2018T3,1.3,02,2018,3
Mujeres,Aragon,De 16 a 19 años,2018T2,1.6,02,2018,2
Mujeres,Aragon,De 16 a 19 años,2018T1,2.0,02,2018,1
Mujeres,Aragon,De 16 a 19 años,2017T4,1.8,02,2017,4
Mujeres,Aragon,De 16 a 19 años,2017T3,2.4,02,2017,3
Mujeres,Aragon,De 16 a 19 años,2017T2,1.2,02,2017,2
Mujeres,Aragon,De 16 a 19 años,2017T1,1.0,02,2017,1
Mujeres,Aragon,De 16 a 19 años,2016T4,1.2,02,2016,4
Mujeres,Aragon,De 16 a 19 años,2016T3,1.6,02,2016,3
Mujeres,Aragon,De 16 a 19 años,2016T2,0.4,02,2016,2
Mujeres,Aragon,De 16 a 19 años,2016T1,1.9,02,2016,1
Mujeres,Aragon,De 16 a 19 años,2015T4,1.5,02,2015,4
Mujeres,Aragon,De 16 a 19 años,2015T3,1.8,02,2015,3
Mujeres,Aragon,De 16 a 19 años,2015T2,1.5,02,2015,2
Mujeres,Aragon,De 16 a 19 años,2015T1,1.0,02,2015,1
Mujeres,Aragon,De 16 a 19 años,2014T4,1.2,02,2014,4
Mujeres,Aragon,De 16 a 19 años,2014T3,1.3,02,2014,3
Mujeres,Aragon,De 16 a 19 años,2014T2,0.5,02,2014,2
Mujeres,Aragon,De 16 a 19 años,2014T1,0.8,02,2014,1
Mujeres,Aragon,De 16 a 19 años,2013T4,0.9,02,2013,4
Mujeres,Aragon,De 16 a 19 años,2013T3,1.1,02,2013,3
Mujeres,Aragon,De 16 a 19 años,2013T2,0.5,02,2013,2
Mujeres,Aragon,De 16 a 19 años,2013T1,0.3,02,2013,1
Mujeres,Aragon,De 16 a 19 años,2012T4,0.2,02,2012,4
Mujeres,Aragon,De 16 a 19 años,2012T3,1.1,02,2012,3
Mujeres,Aragon,De 16 a 19 años,2012T2,1.3,02,2012,2
Mujeres,Aragon,De 16 a 19 años,2012T1,1.0,02,2012,1
Mujeres,Aragon,De 16 a 19 años,2011T4,0.9,02,2011,4
Mujeres,Aragon,De 16 a 19 años,2011T3,1.4,02,2011,3
Mujeres,Aragon,De 16 a 19 años,2011T2,1.1,02,2011,2
Mujeres,Aragon,De 16 a 19 años,2011T1,0.5,02,2011,1
Mujeres,Aragon,De 20 a 24 años,2020T4,9.2,02,2020,4
Mujeres,Aragon,De 20 a 24 años,2020T3,10.5,02,2020,3
Mujeres,Aragon,De 20 a 24 años,2020T2,9.6,02,2020,2
Mujeres,Aragon,De 20 a 24 años,2020T1,13.2,02,2020,1
Mujeres,Aragon,De 20 a 24 años,2019T4,11.5,02,2019,4
Mujeres,Aragon,De 20 a 24 años,2019T3,10.1,02,2019,3
Mujeres,Aragon,De 20 a 24 años,2019T2,9.6,02,2019,2
Mujeres,Aragon,De 20 a 24 años,2019T1,7.7,02,2019,1
Mujeres,Aragon,De 20 a 24 años,2018T4,8.3,02,2018,4
Mujeres,Aragon,De 20 a 24 años,2018T3,10.7,02,2018,3
Mujeres,Aragon,De 20 a 24 años,2018T2,11.6,02,2018,2
Mujeres,Aragon,De 20 a 24 años,2018T1,9.2,02,2018,1
Mujeres,Aragon,De 20 a 24 años,2017T4,11.5,02,2017,4
Mujeres,Aragon,De 20 a 24 años,2017T3,12.3,02,2017,3
Mujeres,Aragon,De 20 a 24 años,2017T2,11.3,02,2017,2
Mujeres,Aragon,De 20 a 24 años,2017T1,11.1,02,2017,1
Mujeres,Aragon,De 20 a 24 años,2016T4,10.2,02,2016,4
Mujeres,Aragon,De 20 a 24 años,2016T3,10.7,02,2016,3
Mujeres,Aragon,De 20 a 24 años,2016T2,10.2,02,2016,2
Mujeres,Aragon,De 20 a 24 años,2016T1,10.8,02,2016,1
Mujeres,Aragon,De 20 a 24 años,2015T4,9.9,02,2015,4
Mujeres,Aragon,De 20 a 24 años,2015T3,8.5,02,2015,3
Mujeres,Aragon,De 20 a 24 años,2015T2,7.8,02,2015,2
Mujeres,Aragon,De 20 a 24 años,2015T1,7.2,02,2015,1
Mujeres,Aragon,De 20 a 24 años,2014T4,7.8,02,2014,4
Mujeres,Aragon,De 20 a 24 años,2014T3,10.6,02,2014,3
Mujeres,Aragon,De 20 a 24 años,2014T2,9.0,02,2014,2
Mujeres,Aragon,De 20 a 24 años,2014T1,8.3,02,2014,1
Mujeres,Aragon,De 20 a 24 años,2013T4,8.7,02,2013,4
Mujeres,Aragon,De 20 a 24 años,2013T3,10.9,02,2013,3
Mujeres,Aragon,De 20 a 24 años,2013T2,10.6,02,2013,2
Mujeres,Aragon,De 20 a 24 años,2013T1,11.9,02,2013,1
Mujeres,Aragon,De 20 a 24 años,2012T4,12.5,02,2012,4
Mujeres,Aragon,De 20 a 24 años,2012T3,14.7,02,2012,3
Mujeres,Aragon,De 20 a 24 años,2012T2,13.4,02,2012,2
Mujeres,Aragon,De 20 a 24 años,2012T1,13.0,02,2012,1
Mujeres,Aragon,De 20 a 24 años,2011T4,13.5,02,2011,4
Mujeres,Aragon,De 20 a 24 años,2011T3,15.3,02,2011,3
Mujeres,Aragon,De 20 a 24 años,2011T2,11.6,02,2011,2
Mujeres,Aragon,De 20 a 24 años,2011T1,12.0,02,2011,1
Mujeres,Aragon,De 25 a 34 años,2020T4,46.2,02,2020,4
Mujeres,Aragon,De 25 a 34 años,2020T3,47.1,02,2020,3
Mujeres,Aragon,De 25 a 34 años,2020T2,43.4,02,2020,2
Mujeres,Aragon,De 25 a 34 años,2020T1,49.8,02,2020,1
Mujeres,Aragon,De 25 a 34 años,2019T4,50.3,02,2019,4
Mujeres,Aragon,De 25 a 34 años,2019T3,50.6,02,2019,3
Mujeres,Aragon,De 25 a 34 años,2019T2,52.6,02,2019,2
Mujeres,Aragon,De 25 a 34 años,2019T1,51.3,02,2019,1
Mujeres,Aragon,De 25 a 34 años,2018T4,53.3,02,2018,4
Mujeres,Aragon,De 25 a 34 años,2018T3,51.5,02,2018,3
Mujeres,Aragon,De 25 a 34 años,2018T2,53.5,02,2018,2
Mujeres,Aragon,De 25 a 34 años,2018T1,49.9,02,2018,1
Mujeres,Aragon,De 25 a 34 años,2017T4,48.2,02,2017,4
Mujeres,Aragon,De 25 a 34 años,2017T3,47.8,02,2017,3
Mujeres,Aragon,De 25 a 34 años,2017T2,47.3,02,2017,2
Mujeres,Aragon,De 25 a 34 años,2017T1,46.9,02,2017,1
Mujeres,Aragon,De 25 a 34 años,2016T4,46.3,02,2016,4
Mujeres,Aragon,De 25 a 34 años,2016T3,46.9,02,2016,3
Mujeres,Aragon,De 25 a 34 años,2016T2,50.0,02,2016,2
Mujeres,Aragon,De 25 a 34 años,2016T1,51.0,02,2016,1
Mujeres,Aragon,De 25 a 34 años,2015T4,52.1,02,2015,4
Mujeres,Aragon,De 25 a 34 años,2015T3,51.9,02,2015,3
Mujeres,Aragon,De 25 a 34 años,2015T2,49.7,02,2015,2
Mujeres,Aragon,De 25 a 34 años,2015T1,48.7,02,2015,1
Mujeres,Aragon,De 25 a 34 años,2014T4,46.4,02,2014,4
Mujeres,Aragon,De 25 a 34 años,2014T3,49.3,02,2014,3
Mujeres,Aragon,De 25 a 34 años,2014T2,51.8,02,2014,2
Mujeres,Aragon,De 25 a 34 años,2014T1,50.1,02,2014,1
Mujeres,Aragon,De 25 a 34 años,2013T4,54.2,02,2013,4
Mujeres,Aragon,De 25 a 34 años,2013T3,57.7,02,2013,3
Mujeres,Aragon,De 25 a 34 años,2013T2,52.7,02,2013,2
Mujeres,Aragon,De 25 a 34 años,2013T1,57.3,02,2013,1
Mujeres,Aragon,De 25 a 34 años,2012T4,57.0,02,2012,4
Mujeres,Aragon,De 25 a 34 años,2012T3,56.6,02,2012,3
Mujeres,Aragon,De 25 a 34 años,2012T2,59.8,02,2012,2
Mujeres,Aragon,De 25 a 34 años,2012T1,59.1,02,2012,1
Mujeres,Aragon,De 25 a 34 años,2011T4,62.6,02,2011,4
Mujeres,Aragon,De 25 a 34 años,2011T3,63.0,02,2011,3
Mujeres,Aragon,De 25 a 34 años,2011T2,62.2,02,2011,2
Mujeres,Aragon,De 25 a 34 años,2011T1,61.8,02,2011,1
Mujeres,Aragon,De 35 a 44 años,2020T4,72.7,02,2020,4
Mujeres,Aragon,De 35 a 44 años,2020T3,72.4,02,2020,3
Mujeres,Aragon,De 35 a 44 años,2020T2,73.3,02,2020,2
Mujeres,Aragon,De 35 a 44 años,2020T1,78.1,02,2020,1
Mujeres,Aragon,De 35 a 44 años,2019T4,78.8,02,2019,4
Mujeres,Aragon,De 35 a 44 años,2019T3,78.5,02,2019,3
Mujeres,Aragon,De 35 a 44 años,2019T2,74.7,02,2019,2
Mujeres,Aragon,De 35 a 44 años,2019T1,73.4,02,2019,1
Mujeres,Aragon,De 35 a 44 años,2018T4,74.5,02,2018,4
Mujeres,Aragon,De 35 a 44 años,2018T3,75.4,02,2018,3
Mujeres,Aragon,De 35 a 44 años,2018T2,75.1,02,2018,2
Mujeres,Aragon,De 35 a 44 años,2018T1,73.6,02,2018,1
Mujeres,Aragon,De 35 a 44 años,2017T4,68.8,02,2017,4
Mujeres,Aragon,De 35 a 44 años,2017T3,72.9,02,2017,3
